iter	Passed	Remaining
0	0	721
1	1	638
2	1	601
3	2	591
4	2	583
5	3	571
6	3	562
7	4	555
8	5	551
9	5	546
10	6	546
11	6	545
12	7	544
13	7	543
14	8	542
15	8	539
16	9	539
17	9	538
18	10	536
19	10	535
20	11	535
21	12	535
22	12	535
23	13	534
24	13	533
25	14	533
26	14	534
27	15	533
28	15	534
29	16	533
30	17	534
31	17	536
32	18	536
33	18	535
34	19	534
35	19	533
36	20	533
37	20	531
38	21	531
39	22	530
40	22	530
41	23	529
42	23	529
43	24	528
44	24	528
45	25	529
46	26	528
47	26	527
48	27	526
49	27	525
50	28	525
51	28	524
52	29	523
53	29	523
54	30	522
55	30	521
56	31	520
57	32	519
58	32	519
59	33	519
60	33	519
61	34	518
62	34	517
63	35	517
64	35	516
65	36	516
66	37	515
67	37	515
68	38	514
69	38	513
70	39	513
71	39	512
72	40	511
73	40	510
74	41	510
75	41	509
76	42	509
77	43	508
78	43	507
79	44	507
80	44	506
81	45	505
82	45	502
83	46	501
84	46	502
85	47	504
86	48	504
87	48	504
88	49	503
89	49	502
90	50	502
91	50	501
92	51	501
93	51	500
94	52	500
95	53	499
96	53	498
97	54	498
98	54	497
99	55	496
100	55	496
101	56	495
102	56	495
103	57	494
104	57	493
105	58	493
106	59	492
107	59	491
108	60	491
109	60	490
110	61	489
111	61	491
112	62	491
113	63	492
114	63	491
115	64	490
116	64	488
117	65	487
118	65	486
119	66	485
120	66	483
121	66	482
122	67	480
123	67	479
124	68	478
125	68	477
126	69	475
127	69	474
128	70	473
129	70	472
130	71	471
131	71	470
132	71	468
133	72	467
134	72	466
135	73	465
136	73	464
137	74	463
138	74	462
139	75	461
140	75	460
141	75	458
142	76	458
143	77	458
144	77	458
145	78	457
146	78	456
147	79	455
148	79	454
149	80	453
150	80	452
151	80	451
152	81	450
153	81	449
154	82	448
155	82	447
156	83	447
157	83	446
158	84	445
159	84	444
160	84	442
161	85	441
162	85	441
163	86	440
164	86	439
165	87	438
166	87	437
167	88	436
168	88	435
169	89	434
170	89	434
171	90	433
172	90	432
173	91	432
174	91	432
175	92	431
176	92	430
177	93	429
178	93	429
179	94	428
180	94	427
181	94	426
182	95	425
183	95	425
184	96	424
185	96	423
186	97	422
187	97	422
188	98	421
189	98	420
190	99	419
191	99	419
192	100	418
193	100	417
194	100	416
195	101	415
196	101	415
197	102	414
198	102	413
199	103	412
200	103	412
201	104	411
202	104	410
203	105	409
204	105	409
205	106	409
206	106	408
207	107	407
208	107	407
209	108	406
210	108	405
211	108	405
212	109	404
213	109	403
214	110	402
215	110	402
216	111	401
217	111	400
218	112	399
219	112	399
220	113	398
221	113	397
222	113	396
223	114	396
224	114	395
225	115	394
226	115	394
227	116	393
228	116	392
229	117	392
230	117	391
231	118	390
232	118	390
233	118	389
234	119	388
235	119	387
236	121	390
237	121	389
238	122	388
239	122	388
240	123	387
241	123	386
242	123	386
243	124	385
244	124	384
245	125	384
246	125	383
247	126	382
248	126	382
249	127	381
250	127	380
251	128	380
252	128	379
253	128	378
254	129	378
255	129	377
256	130	376
257	130	376
258	131	375
259	131	374
260	132	374
261	132	373
262	133	372
263	133	372
264	133	371
265	134	371
266	134	370
267	135	370
268	136	369
269	136	369
270	137	369
271	137	368
272	138	367
273	138	367
274	139	366
275	139	365
276	139	365
277	140	364
278	140	364
279	141	363
280	141	362
281	142	362
282	142	361
283	143	360
284	143	360
285	144	359
286	144	359
287	145	358
288	145	357
289	145	357
290	146	356
291	146	356
292	147	355
293	147	354
294	148	354
295	148	353
296	149	353
297	149	352
298	150	352
299	150	352
300	151	351
301	151	350
302	152	350
303	152	349
304	153	349
